HIP,RA_J2000,DE_J2000,Plx,pmRA,pmDE,Vmag,B-V,is_hyades,cluster,silhouette
19076,4.088961,22.008905,59.79,172.61,-130.08,5.9,0.62,0,1,0.3792200974
18267,3.907787,16.616054,48.36,217.11,-165.59,6.81,0.719,0,1,0.3019368191
17336,3.710246,17.293495,38.75,-128.77,28.38,7.07,0.659,0,1,0.3990475982
13601,2.921502,16.309189,38.3,203.76,-47.24,7.41,0.749,0,1,0.1746082027
18097,3.868222,22.671628,37.25,207,-340.95,7.57,0.684,0,1,0.3650627573
19990,4.287684,20.578591,34.87,-40.88,-61.45,4.93,0.259,0,1,0.3079395364
14230,3.05796,23.06148,29.62,111.75,3.47,7.09,0.624,0,1,0.3368115718
13702,2.940599,18.023119,28.24,281.23,-218.84,5.58,0.471,0,1,0.3785913437
17076,3.659333,18.384913,27.18,188.2,-193.16,8.24,0.81,0,1,0.1794283723
17928,3.834295,22.591635,26.91,155.06,-63.56,7.29,0.538,0,1,0.471289145
21158,4.53553,21.632358,25.55,-0.39,-2.75,7.08,0.641,0,1,0.0526552578
15062,3.234664,18.303813,24.52,-15.3,-227.78,8.12,0.624,0,1,0.391578134
14614,3.14564,15.334827,24.44,68.85,-194.89,7.85,0.642,0,1,0.1775345876
20834,4.464704,24.444788,24.05,375.08,114.38,9.4,0.894,0,1,0.0334383068
21543,4.62555,15.146454,23.54,86.8,-17.98,7.53,0.597,0,1,0.0438167235
20130,4.316104,19.906701,23.53,113.95,-36.39,8.62,0.745,0,1,0.2411766034
20686,4.431035,18.864063,23.08,110.87,-33.75,8.07,0.68,0,1,0.1853627822
20995,4.502388,15.637841,22.93,107.59,-23.92,5.58,0.324,0,1,0.1724793887
16529,3.547244,23.692185,22.78,160.99,-40.55,8.88,0.844,0,1,0.140202359
20641,4.423615,22.199998,22.65,112.45,-47.06,5.27,0.25,0,1,0.1733031977
21029,4.509342,16.194014,22.54,104.98,-25.14,4.78,0.17,0,1,0.1513113118
20219,4.332696,14.035201,22.31,115.42,-19.91,5.58,0.283,0,1,0.1919343343
18471,3.947799,22.477971,22.31,69.43,-114.82,5.62,0.345,0,1,0.4468477921
20237,4.336935,19.23348,22.27,115.67,-34.02,7.46,0.56,0,1,0.2940985604
16788,3.600883,16.467408,22.25,-284.52,-276.33,7.65,0.58,0,1,0.3939318704
18735,4.013546,18.194,21.99,129.49,-28.27,5.89,0.319,0,1,0.4843539549
21588,4.635957,16.033291,21.96,113.05,-40.4,5.78,0.312,0,1,0.0490719144
20400,4.367644,14.077198,21.87,114.04,-21.4,5.72,0.315,0,1,0.1865197472
20056,4.300511,18.256805,21.84,115.65,-31.23,7.53,0.681,0,1,0.2912065923
21099,4.521026,20.133164,21.81,102.78,-41.08,8.59,0.734,0,1,0.0729773671
20284,4.347978,13.864427,21.8,105.29,-17.97,6.15,0.456,0,1,0.1677540854
19793,4.24231,23.574945,21.69,121.09,-48.34,8.05,0.657,0,1,0.2388193128
16329,3.508452,20.103263,21.61,155.02,-63.38,8.29,0.739,0,1,0.3025864832
