,Unnamed: 0,HIP,RA_J2000,DE_J2000,Plx,pmRA,pmDE,Vmag,B-V,is_hyades,cluster,silhouette
3,3,25578,5.466709,9.643928,115.04,-194.06,-759.52,12.48,1.653,0,0,0.2648194241208285
8,8,22627,4.868258,6.476539,82.52,146.09,-310.14,11.94,1.59,0,0,0.33165745286118287
10,10,25953,5.5374050000000015,9.820807,78.3,-177.94,-219.44,11.55,1.6369999999999998,0,0,-0.026343508958927925
11,11,21818,4.688571,20.901512,74.13,-233.61,-254.55,8.09,1.092,0,0,0.06221109524175084
15,15,17405,3.729236,16.667261,61.4,158.99,-313.21,10.83,1.47,0,0,0.32720631925257165
17,17,17414,3.731267,16.67202,58.09,155.18,-319.87,9.99,1.42,0,0,0.3464134850068392
18,18,14731,3.170964,5.908771,57.53,-128.26,-551.33,11.82,1.5,0,0,0.34394871230083524
21,21,21421,4.598677,16.509301,50.09,62.78,-189.36,0.87,1.538,0,0,-0.12410476700207436
28,28,27111,5.7491080000000006,9.242081,44.67,38.91,-703.76,11.35,0.6990000000000001,0,0,0.2727813421404119
31,31,16445,3.529761,14.321593,41.67,37.91,-674.56,12.26,1.55,0,0,0.29575831873660774
35,35,21272,4.563999,5.3850190000000016,37.33,-90.05,-279.27,7.92,0.779,0,0,0.23937429247350847
36,36,18097,3.868222,22.671628,37.25,207.0,-340.95,7.57,0.684,0,0,0.20702319218249976
40,40,23852,5.127309,9.47178,35.34,-5.61,-382.35,6.15,0.625,0,0,0.45051685655056206
41,41,21710,4.661836,9.872073,35.21,-11.41,-373.65,9.19,1.018,0,0,0.44772556789780327
42,42,23431,5.036064,14.081564000000002,34.88,86.36,-405.09,8.19,0.72,0,0,0.4431754069762071
45,45,25662,5.481008,12.550823,34.55,81.49,-218.4,6.71,0.5820000000000001,0,0,0.12805860377248257
47,47,24069,5.171682,9.502056,32.83,56.52,-351.28,12.27,1.383,0,0,0.4567211847604727
48,48,22349,4.811705,18.70943,32.51,190.15,-384.9,6.95,0.618,0,0,0.25671565870684854
51,51,28494,6.014992,21.020992,31.56,-35.03,-361.03,10.02,1.23,0,0,0.42851501041902096
55,55,19325,4.141915,12.337902,31.12,154.82,-336.33,8.61,0.9,0,0,0.3709087721004254
60,60,26381,5.617357,20.730788,30.08,-79.75,-419.96,7.68,0.667,0,0,0.39847428520491696
74,74,26366,5.615108,9.290673,28.1,96.84,-304.18,4.09,0.951,0,0,0.40507102440487747
75,75,22906,4.928241000000001,20.002151,28.08,173.92,-316.93,7.98,0.8,0,0,0.30745623628485413
86,86,26807,5.692887000000002,15.213698999999998,26.51,74.64,-199.6,7.67,0.6920000000000001,0,0,-0.021006029198400267
88,88,19912,4.271826,8.719430000000001,26.49,-85.23,-314.09,9.84,1.148,0,0,0.3254461406110533
93,93,28736,6.066376,23.007963,25.57,-39.34,-349.47,11.04,1.26,0,0,0.41721460473286315
99,99,28135,5.946753,10.479253,25.08,98.61,-211.1,9.85,1.103,0,0,0.08741290541430559
102,102,15020,3.226809,7.708675,24.82,-130.88,-300.64,11.9,1.44,0,0,0.24293164383754223
107,107,28813,6.082843,14.388435,24.56,84.66,-188.03,6.72,0.508,0,0,-0.10538332355005255
109,109,15062,3.234664,18.303813,24.52,-15.3,-227.78,8.12,0.624,0,0,0.07451230391989647
111,111,14614,3.14564,15.334827,24.44,68.85,-194.89,7.85,0.642,0,0,-0.07181426152280507
131,131,16641,3.5689940000000004,17.832828,23.57,95.5,-310.56,6.14,0.8909999999999999,0,0,0.4133341432286924
138,138,24292,5.213321,16.307066,23.35,31.69,-262.46,10.55,1.23,0,0,0.3081846077539455
