HIP;RA_J2000;DE_J2000;Plx;pmRA;pmDE;Vmag;B-V;is_hyades;cluster;silhouette
23786;5.111727;14.446235;41.7;282.67;-239.14;7.74;0.804;0;0;0.2899094671
23852;5.127309;9.47178;35.34;-5.61;-382.35;6.15;0.625;0;0;0.1770874421
23431;5.036064;14.081564;34.88;86.36;-405.09;8.19;0.72;0;0;0.401832774
25662;5.481008;12.550823;34.55;81.49;-218.4;6.71;0.582;0;0;0.1839996583
22349;4.811705;18.70943;32.51;190.15;-384.9;6.95;0.618;0;0;0.0632541378
23286;5.009388;14.38381;28.49;40.45;52.03;6.75;0.673;0;0;0.4071132479
19767;4.238415;12.348101;27.98;341.22;-59.45;6.74;0.677;0;0;0.3149904295
22221;4.779327;9.01742;26.26;89.03;-16.73;7.24;0.56;0;0;0.2820834159
23443;5.038974;13.91024;26;-10.32;-100.57;7.51;0.615;0;0;0.4274000639
21280;4.566261;15.163621;24.02;101.93;-33.75;8.48;0.847;0;0;0.3380484635
19481;4.1727;12.077616;23.85;168.24;89.45;8.11;0.741;0;0;0.2350707609
22505;4.842727;15.083454;23.64;89.49;-20.65;7.73;0.74;0;0;0.413326583
21543;4.62555;15.146454;23.54;86.8;-17.98;7.53;0.597;0;0;0.4982974953
21923;4.714363;18.720433;23.23;103.46;-92.15;7.12;0.677;0;0;0.132116668
22496;4.839981;17.202665;22.96;102.78;-29.7;7.1;0.563;0;0;0.2285724378
20995;4.502388;15.637841;22.93;107.59;-23.92;5.58;0.324;0;0;0.3712953437
21029;4.509342;16.194014;22.54;104.98;-25.14;4.78;0.17;0;0;0.252037469
20219;4.332696;14.035201;22.31;115.42;-19.91;5.58;0.283;0;0;0.382510832
19786;4.240904;12.435324;22.19;117.48;-9.35;8.05;0.64;0;0;0.3310324779
21588;4.635957;16.033291;21.96;113.05;-40.4;5.78;0.312;0;0;0.3488731753
20400;4.367644;14.077198;21.87;114.04;-21.4;5.72;0.315;0;0;0.4125107798
20284;4.347978;13.864427;21.8;105.29;-17.97;6.15;0.456;0;0;0.4635699594
21589;4.635962;12.510838;21.79;101.73;-14.9;4.27;0.122;0;0;0.2493715418
21402;4.594239;10.16079;21.68;44.89;-52.42;4.25;0.184;0;0;0.1514020917
21673;4.65256;15.799846;21.49;32.4;-77.67;5.08;0.141;0;0;0.2526770107
19148;4.10448;15.69812;21.41;118.53;-19.59;7.85;0.593;0;0;0.1590874096
21308;4.575055;10.01642;21.36;118.55;-68.94;7.72;0.615;0;0;0.3205442843
20826;4.462799;11.73642;21.18;110.28;-12.11;7.49;0.56;0;0;0.4210270922
20484;4.390295;16.77726;21.17;105.09;-27.62;5.64;0.31;0;0;0.1915328379
20616;4.416757;11.977924;21;43.19;-16.32;8.41;0.639;0;0;0.4023336069
21654;4.649254;14.105579;20.81;103.31;-21.62;7.96;0.655;0;0;0.5376403198
22044;4.740508;11.146137;20.73;98.87;-13.47;5.39;0.251;0;0;0.2451555001
25127;5.378534;13.229082;20.54;15.31;-45.45;9.15;0.706;0;0;0.2327714827
21683;4.654584;15.917977;20.51;82.4;-19.53;4.67;0.147;0;0;0.24659335
20901;4.480601;13.047602;20.33;105.17;-15.08;5.02;0.215;0;0;0.3952414081
20187;4.326909;12.624322;20.13;168.47;-19.23;9.81;0.924;0;0;0.1421294485
22265;4.793769;18.258721;19.81;78.87;-38.81;8.54;0.72;0;0;0.1493377176
22688;4.879192;14.623128;19.75;200.05;-37.85;7.51;0.639;0;0;0.4535005241
22422;4.82559;15.888748;19.68;87.37;-23.68;7.72;0.578;0;0;0.3818916188
23069;4.963751;14.002186;19.66;67.17;-19.49;8.89;0.737;0;0;0.4307459813
21112;4.524819;13.903469;19.46;92.6;-19.96;7.78;0.54;0;0;0.5381739739
22203;4.775108;15.47205;19.42;91.37;-24.72;8.3;0.665;0;0;0.4292000735
20397;4.36693;12.509087;19.15;29.73;66.31;9.27;0.689;0;0;0.3957203883
21475;4.61147;11.912362;18.93;165.74;-29.14;9.94;0.852;0;0;0.3259491764
24883;5.334335;13.544989;18.93;-20.2;-89.59;7.5;0.561;0;0;0.2758616304
22826;4.912126;12.352201;18.58;92.23;-39.95;7.13;0.583;0;0;0.4881412939
24660;5.291872;14.514041;18.54;11.69;-74.92;8.54;0.667;0;0;0.2395448708
23498;5.052127;13.730669;18.44;65.95;-18.46;9;0.765;0;0;0.3527154254
21918;4.713565;12.209765;18.42;80.19;-227.59;7.4;0.76;0;0;0.4344946964
22616;4.865884;9.872702;18.3;20.57;-29.64;6.82;0.423;0;0;0.2288090828
21703;4.66014;13.123099;17.64;236.38;-141.18;8.93;0.83;0;0;0.3905536226
20366;4.361575;10.771671;17.53;-30.55;-11.81;8.69;0.603;0;0;0.2725867588
18843;4.040634;15.133955;17.28;16.45;28.53;9.57;0.697;0;0;0.167016276
22566;4.856449;15.433467;17.14;67.63;-17.21;7.9;0.527;0;0;0.402599011
23789;5.111965;14.084778;16.9;-15.21;-121.23;7.3;0.559;0;0;0.3765197921
21672;4.6524;13.002983;16.77;-43.12;-64.17;7.2;0.429;0;0;0.5372155793
19157;4.106361;14.402211;16.75;66.54;59.34;7.3;0.496;0;0;0.2840872618
22021;4.734367;12.991348;15.18;3.71;49.45;7.61;0.442;0;0;0.524909048
21091;4.519743;11.244391;14.85;42.91;2.65;8.7;0.665;0;0;0.3909404645
22782;4.900847;17.026825;14.82;78.04;-0.66;7.22;0.536;0;0;0.205815966
24059;5.169558;13.548369;14.8;-64.01;-42.5;6.69;0.381;0;0;0.3082996891
19120;4.098709;15.498995;13.98;36.52;-37.98;8.15;0.564;0;0;0.1750775936
22942;4.9364;13.975413;13.56;107.2;-71.78;8.81;0.78;0;0;0.3900043213
25717;5.490907;13.427551;13.56;-16.11;-8.18;8.19;0.463;0;0;0.1542475404
22833;4.913027;11.426006;13.54;-16.31;13.63;5.18;0.121;0;0;0.0040144731
24142;5.184962;17.399233;13.53;30.74;-70.29;9.15;0.849;0;0;0.0461698143
21395;4.592756;12.100483;13.51;40.14;-16.95;8.91;0.59;0;0;0.4916399029
21257;4.56058;16.323339;13.36;14.41;-16.56;6.58;0.188;0;0;0.2722244307
26231;5.589014;13.284402;13.34;48.14;-60.88;8;0.496;0;0;0.1060903795
23710;5.097051;13.286057;13.18;55.6;-103.29;7.86;0.844;0;0;0.1930706459
21882;4.70417;9.63382;12.76;36.17;-65.16;6.76;0.354;0;0;0.2250980795
20041;4.298208;17.399308;12.74;-4.62;-14.49;8.76;0.586;0;0;0.1050820833
21306;4.573879;12.73421;12.62;22.2;-331.97;9.68;0.6;0;0;0.514793853
24527;5.26203;12.879306;12.54;149.58;-121.02;8.96;0.673;0;0;0.3285904555
