,Unnamed: 0,HIP,RA_J2000,DE_J2000,Plx,pmRA,pmDE,Vmag,B-V,is_hyades,cluster,silhouette
5,5,26335,5.608609,11.327866,87.9,-2.56,-57.6,8.78,1.415,0,0,0.08637055474580481
19,19,25716,5.490838,15.577293,57.5,-82.74,-126.92,10.55,1.5,0,0,0.11126178555066388
23,23,19855,4.2571629999999985,6.199651,47.86,-101.62,-112.85,6.94,0.68,0,0,0.07144476574277184
24,24,19859,4.258,6.186858,47.2,-109.37,-108.35,6.32,0.57,0,0,0.0558104284524562
43,43,19990,4.287684,20.578591,34.87,-40.88,-61.45,4.93,0.259,0,0,0.04606288476999202
54,54,23418,5.032999,9.983116,31.2,17.18,-81.96,11.45,1.54,0,0,0.32853563294995847
58,58,17936,3.835802,6.620688,30.74,59.66,-40.52,7.72,0.684,0,0,0.211186117137387
63,63,16560,3.553686,7.452864,29.74,-65.97,-70.07,11.17,1.371,0,0,0.025010167089201833
64,64,21436,4.603877,21.536545,29.69,19.29,-41.36,7.58,0.685,0,0,0.18647226739322406
82,82,22845,4.914924,10.150833,27.04,40.08,-128.37,4.64,0.085,0,0,0.28989779889970174
90,90,23443,5.038974,13.91024,26.0,-10.32,-100.57,7.51,0.615,0,0,0.2768386354161221
92,92,13750,2.950176,10.16204,25.66,-61.71,-76.05,7.9,0.604,0,0,0.06028219451215569
113,113,23396,5.028951,20.829845,24.38,-65.85,-92.74,7.99,0.74,0,0,0.10383379988544139
132,132,15724,3.375715,17.725354,23.55,40.02,-29.15,8.83,0.882,0,0,0.1410191361946291
139,139,23287,5.009426,3.615749,23.33,10.35,-27.39,6.65,-0.053,0,0,-0.15177103003904244
148,148,21380,4.588119,23.045169,23.09,-13.35,-67.89,8.91,0.77,0,0,0.21478709975924684
174,174,18471,3.947799,22.477971,22.31,69.43,-114.82,5.62,0.345,0,0,0.19010924381168462
179,179,24681,5.294716,7.353343,22.22,-3.74,-148.69,7.31,0.6609999999999999,0,0,0.2446757203547314
198,198,21402,4.594239,10.16079,21.68,44.89,-52.42,4.25,0.184,0,0,0.31316394851176654
200,200,28734,6.068671,23.263341,21.64,-2.6,-119.72,4.16,0.835,0,0,0.280588347390644
203,203,24558,5.269158,16.942417000000006,21.55,-148.64,-161.3,10.5,1.09,0,0,0.06550942083035816
206,206,21673,4.65256,15.799846,21.49,32.4,-77.67,5.08,0.141,0,0,0.3638076348031846
242,242,20616,4.416757,11.977924,21.0,43.19,-16.32,8.41,0.639,0,0,-0.023395076269243618
252,252,25127,5.378533999999998,13.229082,20.54,15.31,-45.45,9.15,0.706,0,0,0.23956608337664245
255,255,14711,3.167813,12.996819,20.47,-120.41,-164.81,11.13,1.01,0,0,0.09200099747798347
259,259,14809,3.187178,22.415865,20.24,56.04,-125.11,8.51,0.71,0,0,0.27257054285740917
266,266,21961,4.720488,24.08892,20.03,15.62,-18.3,6.18,0.544,0,0,-0.2581250789679407
269,269,25195,5.390704,16.981491000000002,19.97,6.43,-152.28,8.11,0.606,0,0,0.2511447725561241
285,285,21788,4.680297,23.809625,19.48,63.12,-48.26,8.84,0.688,0,0,0.26099727089312286
297,297,21926,4.714519,18.144884,19.22,61.63,-121.96,10.27,0.818,0,0,0.24358245623895614
298,298,14974,3.217248,20.729908,19.2,-44.39,-65.23,8.65,0.617,0,0,0.05704316481247473
299,299,15381,3.3055510000000004,18.171623,19.19,-82.92,-103.63,7.52,0.642,0,0,0.08919614382599102
305,305,24883,5.334335,13.544989,18.93,-20.2,-89.59,7.5,0.561,0,0,0.24573976854946056
306,306,14810,3.187286,21.097359,18.91,-3.01,-53.57,8.52,0.777,0,0,0.19238838026047375
309,309,17305,3.704422,22.786456,18.79,21.57,-75.5,7.4,0.428,0,0,0.36280458898004503
318,318,26382,5.617704,17.040324,18.56,42.9,-34.86,5.53,0.237,0,0,0.2168597477294373
321,321,24660,5.291872,14.514041,18.54,11.69,-74.92,8.54,0.667,0,0,0.3468988744623499
322,322,25082,5.36978,5.3953050000000005,18.46,49.12,-50.64,7.01,0.516,0,0,0.2965566626215566
327,327,22616,4.8658839999999985,9.872702,18.3,20.57,-29.64,6.82,0.423,0,0,0.017151425416655253
328,328,24923,5.340395,11.609818,18.26,50.64,-13.41,9.03,0.765,0,0,-0.017305242997748854
330,330,16538,3.549315,16.598428,18.16,-22.39,-96.1,7.03,0.503,0,0,0.24506701467749556
335,335,21912,4.712184,16.513685,17.92,-177.92,-196.32,11.3,1.27,0,0,0.05991800163202274
338,338,24180,5.191947,5.70321,17.75,60.65,-139.87,7.88,0.522,0,0,0.22197001346344042
345,345,25034,5.360862,15.84707,17.48,-31.09,-46.38,7.71,0.481,0,0,-0.07652610754612862
352,352,26604,5.654775,10.259854,17.29,1.98,-28.94,8.25,0.6940000000000001,0,0,-0.2262293417460633
359,359,19532,4.184604,8.539482000000001,17.01,34.13,-47.82,11.74,1.3159999999999998,0,0,0.3083110736832319
361,361,23789,5.1119650000000005,14.084778,16.9,-15.21,-121.23,7.3,0.5589999999999999,0,0,0.2592309847617458
362,362,23879,5.131359,8.498429,16.84,34.96,-59.49,5.33,0.338,0,0,0.3527195156176508
363,363,22509,4.843534,8.900176,16.84,-0.87,-31.57,4.35,0.01,0,0,-0.19125088036340812
366,366,21672,4.6524,13.002983,16.77,-43.12,-64.17,7.2,0.429,0,0,0.05130847824687701
368,368,17032,3.651238,9.652843,16.71,8.72,-31.46,9.07,0.7,0,0,-0.09060325087501205
369,369,16723,3.586155,5.714012,16.71,7.55,-34.75,7.48,0.515,0,0,-0.031386725629997635
370,370,23662,5.085148,6.130226,16.69,49.05,-4.87,7.69,0.509,0,0,-0.12393517322715011
371,371,28188,5.957175,21.980851,16.57,15.49,-82.18,9.0,0.47,0,0,0.3537644985477548
374,374,27820,5.886833,11.814226,16.53,12.71,-108.44,7.19,0.506,0,0,0.3190735659827078
375,375,13801,2.961878,23.962381,16.51,-25.05,-92.03,9.87,0.774,0,0,0.2303536372441178
376,376,25589,5.469233999999998,16.439017,16.44,-36.18,-53.96,6.85,0.6659999999999999,0,0,-0.008863191066810975
377,377,14997,3.221875,11.553611,16.3,26.46,-19.44,9.18,0.7120000000000001,0,0,-0.14008499913574718
378,378,23277,5.008246,5.098969,16.18,34.41,-30.87,8.02,0.57,0,0,0.13350115918257374
379,379,16739,3.5886690000000003,5.725289,16.1,8.07,-37.04,12.16,1.288,0,0,0.025606822997865087
381,381,17722,3.795276,10.500686,16.06,39.93,-43.88,9.46,0.6809999999999999,0,0,0.289968872488422
391,391,24822,5.321278,22.096494,15.83,19.62,-81.08,4.96,0.937,0,0,0.3605710072920554
394,394,16824,3.608002,23.797292,15.66,53.0,-103.72,8.62,0.669,0,0,0.31917889317495535
395,395,15412,3.31146,18.472875,15.52,38.53,-35.35,8.7,0.71,0,0,0.22602939673510528
398,398,15900,3.413554,9.02887,15.42,-74.25,-80.31,3.61,0.887,0,0,0.04584894939728902
399,399,21403,4.594446,19.968821,15.41,-9.3,-50.56,7.24,0.575,0,0,0.11212964344750477
401,401,26328,5.607329,21.993108,15.35,-44.21,-84.81,6.88,0.501,0,0,0.14553051497062822
405,405,17235,3.691188,12.607919,15.26,45.86,-79.67,8.1,0.526,0,0,0.3543535643013605
408,408,14075,3.022969,6.249124,15.17,36.3,-89.8,8.82,0.741,0,0,0.35005793231782534
409,409,24728,5.302943,5.994801,15.16,17.32,-84.03,11.64,1.146,0,0,0.3480755692672295
412,412,18625,3.985951,22.988234,15.01,-15.95,-79.55,8.7,0.556,0,0,0.2466626481383505
414,414,17830,3.815609,16.459486,14.94,-47.38,-103.84,7.22,0.4320000000000001,0,0,0.17364514444466825
