,HIP,RA_J2000,DE_J2000,Plx,pmRA,pmDE,Vmag,B-V,is_hyades
0,26857,5.702573999999999,12.489336999999999,172.78,1999.05,-1570.64,11.56,1.675,0
1,22449,4.83067,6.961276,124.6,463.44,11.62,3.19,0.484,0
2,27913,5.906384,20.276175,115.43,-163.17,-98.92,4.39,0.594,0
3,25578,5.466709,9.643928,115.04,-194.06,-759.52,12.48,1.653,0
4,21932,4.7154940000000005,18.958171,106.16,659.83,-1114.72,9.95,1.5230000000000001,0
5,26335,5.6086089999999995,11.327866,87.9,-2.56,-57.6,8.78,1.415,0
6,20917,4.4833680000000005,21.922701999999997,87.17,-65.14,175.55,8.3,1.3630000000000002,0
7,21000,4.503495,5.298818,84.76,106.9,119.86,9.83,0.6,0
8,22627,4.868258,6.476539,82.52,146.09,-310.14,11.94,1.59,0
9,24284,5.211729,19.66565,78.5,275.09,238.42,10.82,1.55,0
10,25953,5.537405000000001,9.820807,78.3,-177.94,-219.44,11.55,1.6369999999999998,0
11,21818,4.688571,20.901512,74.13,-233.61,-254.55,8.09,1.092,0
12,25220,5.393994999999999,17.324119,69.76,253.35,-4.66,7.93,1.104,0
13,25278,5.4070730000000005,17.383534,68.19,250.4,-7.42,5.0,0.544,0
14,23835,5.124168,18.645052,63.02,536.05,18.51,4.91,0.657,0
15,17405,3.729236,16.667261,61.4,158.99,-313.21,10.83,1.47,0
16,19076,4.088961,22.008905,59.79,172.61,-130.08,5.9,0.62,0
17,17414,3.731267,16.67202,58.09,155.18,-319.87,9.99,1.42,0
18,14731,3.170964,5.908771,57.53,-128.26,-551.33,11.82,1.5,0
19,25716,5.490838,15.577293,57.5,-82.74,-126.92,10.55,1.5,0
20,15844,3.4018,23.785027,50.54,217.18,-129.17,10.38,1.51,0
21,21421,4.5986769999999995,16.509301,50.09,62.78,-189.36,0.87,1.538,0
22,18267,3.9077870000000003,16.616054000000002,48.36,217.11,-165.59,6.81,0.7190000000000001,0
23,19855,4.257162999999999,6.199651,47.86,-101.62,-112.85,6.94,0.68,0
24,19859,4.258,6.186858,47.2,-109.37,-108.35,6.32,0.57,0
25,26844,5.699685,15.337223000000002,46.51,78.74,-44.01,10.72,1.689,0
26,17496,3.747535,11.92,45.87,315.63,126.16,9.13,1.179,0
27,15099,3.246452,8.980792,44.96,401.17,-404.84,7.83,0.861,0
28,27111,5.7491080000000006,9.242080999999999,44.67,38.91,-703.76,11.35,0.6990000000000001,0
29,13976,3.000781,7.749752,42.66,329.79,19.67,7.97,0.9259999999999999,0
30,23786,5.111726999999999,14.446235,41.7,282.67,-239.14,7.74,0.804,0
