recno,TYCID1,TYCID2,TYCID3,RA_J2000_24,DE_J2000,pmRA,pmDE,BT,VT,V,B-V,HD,HIP,Plx,is_hyades,cluster,silhouette
3579,51,383,1,2.913019,3.569417,52.5,-25.5,9.652,8.895,8.827,0.643,18115,,,0,3,-0.0734157507
3782,54,211,1,2.965169,7.435182,57.2,0.1,10.709,9.904,9.832,0.684,      ,,,0,3,0.1628176699
3784,54,266,1,2.945891,6.337034,71.4,12.1,10.905,10.101,10.029,0.683,      ,,,0,3,0.3418617594
3788,54,306,1,2.925166,5.933608,75.6,-43.2,11.664,11.009,10.95,0.557,      ,,,0,3,0.2245193396
3835,54,934,1,2.909196,5.466581,72.6,-27,10.536,9.836,9.773,0.595,18094,,,0,3,0.3430287569
3836,54,937,1,2.939951,5.614864,47.4,8.2,10.449,9.174,9.059,1.084,18297,,,0,3,-0.0468153059
4103,58,805,1,3.046149,3.63071,49.8,7.6,9.954,9.288,9.228,0.566,      ,14174,6.64,0,3,0.0088109781
4228,60,607,1,3.459522,4.127326,73.2,25.8,9.958,9.436,9.389,0.444,21452,,,0,3,0.3127034648
4229,60,681,1,3.412903,4.921645,54.1,-18.1,11.21,9.891,9.772,1.121,      ,,,0,3,0.0144906602
4238,60,907,1,3.495662,3.927625,114.9,-0.5,11.492,10.75,10.683,0.631,      ,,,0,3,0.4761603754
4254,60,1491,1,3.420047,3.886331,55.7,1,11.526,11.013,10.967,0.436,      ,,,0,3,0.125543683
4255,60,1499,1,3.3539,3.856881,60.5,-8.8,9.306,8.935,8.902,0.315,20790,15628,7.59,0,3,0.2082189984
4256,60,1511,1,3.384613,3.867796,99.1,-52.4,12.001,11.119,11.04,0.75,      ,,,0,3,0.2292734814
4289,61,605,1,3.016572,5.593409,67.8,-11,11.864,11.277,11.224,0.499,      ,,,0,3,0.3255196583
4313,61,993,1,3.058703,5.335366,56.9,-19.2,10.234,8.987,8.875,1.06,19001,,,0,3,0.0929916436
4332,62,71,1,3.264933,6.819979,47.5,4.6,10.933,10.243,10.181,0.587,      ,,,0,3,-0.0651355762
4348,62,371,1,3.285835,6.799886,51,-32.6,7.261,6.985,6.96,0.235,20402,15279,11.88,0,3,-0.1444757402
4349,62,374,1,3.294548,7.22104,54.5,-6.5,10.751,10.073,10.012,0.576,      ,,,0,3,0.0805655676
4371,62,1020,1,3.24197,5.741619,163.9,13.8,11.141,10.31,10.235,0.706,      ,,,0,3,0.3772932364
4406,63,436,1,3.385693,6.380476,119.4,-72,10.99,10.138,10.061,0.724,      ,,,0,3,0.0893536219
4412,63,673,1,3.347082,6.433228,62.6,-15.5,10.233,9.634,9.58,0.509,      ,15593,4.55,0,3,0.2392958051
4428,63,1305,1,3.416744,5.617653,55.4,1.1,11.175,10.174,10.084,0.851,      ,,,0,3,0.1228973715
4431,63,1415,1,3.428963,5.935438,63.2,-18.9,7.756,7.673,7.666,0.071,21243,15978,6.68,0,3,0.2358044033
4665,67,874,1,3.604876,4.832674,57.7,-19.1,11.488,10.366,10.265,0.954,      ,,,0,3,0.1128782841
4670,67,903,1,3.543021,3.934527,55.9,5.5,11.426,10.452,10.364,0.828,      ,,,0,3,0.137873701
4678,67,1091,1,3.622747,4.885307,64.9,-40.8,10.487,9.779,9.715,0.602,      ,,,0,3,0.1569175495
4688,67,1399,1,3.591194,3.51305,46.1,5.6,9.829,9.377,9.336,0.384,22295,,,0,3,-0.0929302119
4730,68,495,1,3.70178,4.993263,100.8,-12.7,11.431,10.586,10.51,0.718,      ,,,0,3,0.4980993289
4736,68,801,1,3.731761,3.446354,123.7,36.7,10.098,9.049,8.955,0.892,23261,,,0,3,0.3850764609
4747,68,1040,1,3.683347,3.578566,110.2,17.3,9.795,9.128,9.068,0.567,22917,,,0,3,0.4407483077
4824,70,336,1,3.552406,5.250666,94.3,46.2,11.402,10.753,10.695,0.552,      ,,,0,3,0.3324450013
4844,70,819,1,3.613951,6.414012,67.6,-39.6,10.893,9.929,9.842,0.819,      ,,,0,3,0.2112509733
4855,70,1068,1,3.585338,6.006283,74,-34.4,11.63,10.915,10.851,0.608,      ,,,0,3,0.3237603488
4863,70,1227,1,3.657937,6.736594,68.8,-4.7,10.321,9.39,9.306,0.791,22723,17066,6.2,0,3,0.3454541482
4867,70,1244,1,3.627898,6.694851,52.2,61.6,11.391,10.616,10.546,0.659,      ,,,0,3,0.0153651569
4886,71,85,1,3.689092,5.047207,49.1,42.6,10.65,10.01,9.952,0.544,      ,,,0,3,-0.000338173
4892,71,221,1,3.679164,6.173448,55.1,-9.3,11.366,10.424,10.339,0.801,      ,,,0,3,0.0850244707
4899,71,316,1,3.734975,5.055565,60.3,8.8,9.825,9.419,9.382,0.345,      ,17435,4.2,0,3,0.2179564851
4900,71,345,1,3.668767,5.874581,110.9,-0.4,11.221,10.115,10.015,0.94,      ,,,0,3,0.4827922667
4916,71,866,1,3.812496,5.036952,49.3,-11.3,10.144,9.682,9.64,0.393,      ,,,0,3,-0.1040958838
4955,72,223,1,3.941176,5.851497,43.9,8.9,9.409,8.271,8.169,0.967,24772,,,0,3,-0.1248595233
4977,72,692,1,3.912256,5.010716,127.9,-28.9,9.845,9.04,8.968,0.684,      ,,,0,3,0.4222392668
4986,72,1056,1,3.847177,5.462543,79.6,-0.9,10.794,10.042,9.974,0.639,      ,,,0,3,0.4276772554
5247,76,383,1,4.03689,4.583884,48.3,-16,10.886,10.142,10.075,0.632,      ,18831,6.53,0,3,-0.1597150615
5257,76,521,1,4.165047,4.323651,48.8,8.4,10.881,10.16,10.095,0.613,      ,19449,12.14,0,3,-0.0123248837
5309,77,475,1,4.285204,4.152343,46.4,18,10.557,10.006,9.956,0.468,      ,19979,,0,3,-0.0235055327
5422,78,1511,1,4.493229,3.838596,53.8,-34.6,11.321,10.287,10.194,0.879,      ,20956,,0,3,-0.0735767094
5460,79,608,1,4.112443,5.686844,65.7,18.4,9.334,8.703,8.646,0.536,25942,19189,4.4,0,3,0.272161285
5492,80,113,1,4.21111,6.371711,55.2,-42.7,11.593,10.665,10.581,0.789,      ,,,0,3,-0.0654145232
5501,80,293,1,4.184989,6.718512,54.9,-21.7,9.385,8.861,8.814,0.445,26425,19538,6.14,0,3,0.0234176563
5530,80,977,1,4.175499,5.900255,99,-38.3,11.292,10.51,10.44,0.665,      ,,,0,3,0.3975715421
5535,80,1019,1,4.240678,5.180571,89.7,13.9,10.624,9.553,9.457,0.91,      ,,,0,3,0.4296755134
5593,81,1030,1,4.353662,6.233174,105.1,-45.8,9.59,8.792,8.72,0.678,27562,,,0,3,0.3289315466
5602,81,1287,1,4.397454,7.003893,58.2,-16.5,10.508,10.027,9.984,0.409,      ,,,0,3,0.1412651441
6009,86,747,1,4.575943,3.685664,74.4,15.1,11.082,10.354,10.288,0.619,      ,,,0,3,0.3519154841
6017,86,974,1,4.602037,3.421832,51.8,-0.2,11.112,10.331,10.261,0.664,      ,,,0,3,0.0263662116
6075,87,1169,1,4.703783,3.704359,96.1,34.8,12.086,11.012,10.915,0.913,      ,,,0,3,0.3729558627
6290,90,710,1,4.554703,5.493203,48.3,-9.1,12.073,10.888,10.781,1.007,      ,,,0,3,-0.1242631529
6311,90,1257,1,4.540711,4.22572,140.4,-5.7,11.102,10.332,10.263,0.655,      ,,,0,3,0.4367765748
6317,91,96,1,4.64784,5.429672,55,-25.7,11.04,10.308,10.242,0.622,      ,,,0,3,0.0033210145
6336,91,432,1,4.631925,5.274274,88.5,-32.2,11.099,10.38,10.315,0.611,      ,,,0,3,0.4385937303
6356,91,831,1,4.729455,4.733297,85.9,-34,9.831,9.252,9.2,0.492,29989,,,0,3,0.4123010954
6363,91,887,1,4.730267,3.978442,48.1,16.4,11.121,10.269,10.192,0.724,      ,,,0,3,0.0042998925
6425,92,445,1,4.844241,4.969744,58.3,-32.3,10.541,9.884,9.825,0.558,      ,,,0,3,0.0622844686
