,Unnamed: 0,Unnamed: 0.1,recno,TYCID1,TYCID2,TYCID3,RA_J2000_24,DE_J2000,pmRA,pmDE,BT,VT,V,B-V,HD,HIP,Plx,is_hyades,keep,cluster,silhouette
5,5,5,3576,51,365,1,2.9948509999999997,4.100448,40.2,0.8,11.472000000000001,10.699000000000002,10.629000000000001,0.657,      ,,,0,1,0,0.1336261870166667
6,6,6,3577,51,376,1,2.918936,3.4868690000000004,31.7,-12.8,7.274,6.9270000000000005,6.896,0.295,18162,13593.0,11.65,0,1,0,0.2672906615422641
8,8,8,3581,51,425,1,2.910711,4.826931,14.6,-8.1,11.069,9.684,9.559,1.177,      ,,,0,1,0,-0.08668011012266674
13,13,13,3588,51,650,1,2.9701779999999998,4.358696,20.3,-9.0,11.532,11.002,10.954,0.451,      ,,,0,1,0,0.09701898828589524
16,16,16,3595,51,761,1,2.9021779999999997,3.9362,24.2,-18.4,10.445,8.964,8.831,1.2590000000000001,18053,,,0,1,0,0.3245166526325504
19,19,19,3601,51,883,1,2.940169,4.451787,2.5,-23.4,11.07,9.712,9.59,1.1540000000000001,      ,,,0,1,0,0.055103070049956106
21,21,21,3604,51,927,1,2.9526630000000003,3.678704,20.0,-18.1,8.071,7.6179999999999986,7.577000000000001,0.385,18359,13762.0,5.57,0,1,0,0.27957891358697173
22,22,22,3606,51,951,1,2.994057,4.31076,16.9,-13.4,11.402000000000001,11.015,10.98,0.32899999999999996,      ,,,0,1,0,0.1400459442037046
29,29,29,3781,54,174,1,2.9895709999999998,6.6521339999999975,28.3,-43.2,7.9910000000000005,7.587999999999999,7.5520000000000005,0.34299999999999997,18570,13923.0,8.65,0,1,0,0.37253196813715583
36,36,36,3792,54,347,1,2.983561,7.315075,19.3,-15.5,11.02,10.288,10.222000000000001,0.622,      ,,,0,1,0,0.25787881876202734
37,37,37,3793,54,356,1,2.91214,6.115709,9.9,-24.2,11.747,10.965,10.895,0.665,      ,,,0,1,0,0.25747511593469186
43,43,43,3803,54,455,1,2.962532,6.913142999999999,36.4,-5.3,10.57,10.115,10.074,0.387,      ,,,0,1,0,0.2028873492736364
