recno;TYCID1;TYCID2;TYCID3;RA_J2000_24;DE_J2000;pmRA;pmDE;BT;VT;V;B-V;HD;HIP;Plx;is_hyades;cluster;silhouette
52398;647;817;1;2.956108;14.697028;56.3;-2.5;9.817;9.386;9.347;0.366;18343;;;0;3;0.0406240245
52401;647;876;1;3.040012;14.939738;22.8;5.9;10.936;10.31;10.254;0.532;      ;;;0;3;0.0770643121
52403;647;904;1;3.011389;14.637222;-17.5;0.1;11.031;10.725;10.697;0.26;      ;;;0;3;0.037978817
52676;654;119;1;3.072858;14.858336;53.9;-74.7;10.493;9.798;9.735;0.591;      ;;;0;3;0.0664540567
52683;654;173;1;3.129212;14.63463;69.5;-0.5;9.765;9.185;9.133;0.493;19410;;;0;3;0.0465012405
52688;654;198;1;3.149809;14.61327;7.4;2.7;11.567;11.077;11.033;0.417;      ;;;0;3;0.0479233394
52695;654;271;1;3.110854;14.775969;18;34.4;9.331;8.773;8.723;0.474;19291;;;0;3;0.0653179527
52705;654;411;1;3.14633;14.684643;46.1;-24.7;11.014;10.728;10.702;0.243;      ;;;0;3;0.0543021267
52707;654;447;1;3.113162;14.614119;42;-7.1;11.876;11.002;10.923;0.743;      ;;;0;3;0.0235756783
52716;654;882;1;3.201778;14.579792;-15.1;-7.7;11.109;10.605;10.56;0.428;      ;;;0;3;0.0481455481
52718;654;932;1;3.190144;14.578529;-4.3;-13.5;11.213;10.399;10.326;0.692;      ;;;0;3;0.0300122074
52724;654;1054;1;3.167981;14.839252;66.5;29.8;11.296;10.332;10.245;0.819;      ;;;0;3;0.0507659679
52726;654;1218;1;3.227874;14.822943;-29.2;-11.3;10.586;9.967;9.911;0.526;      ;;;0;3;0.0838412967
52727;654;1274;1;3.17015;14.600805;-5.4;-24.5;11.394;10.428;10.341;0.821;      ;;;0;3;0.019505401
52730;654;1558;1;3.194724;14.525981;-3.5;-0.1;11.008;10.408;10.354;0.51;      ;;;0;3;0.035992739
52734;654;1623;1;3.185616;14.712283;3.2;3.3;10.402;9.795;9.74;0.516;19753;;;0;3;0.0629614594
52761;655;686;1;3.342987;14.659652;-4.6;-11.8;10.968;10.502;10.46;0.396;      ;;;0;3;0.0747097954
52764;655;766;1;3.279536;14.539749;32;-151.1;10.906;9.992;9.91;0.777;      ;;;0;3;0.0244804975
52790;655;1563;1;3.370559;14.588985;-8.3;-30.6;11.593;10.757;10.682;0.711;      ;;;0;3;0.0474504449
52797;656;123;1;3.557262;14.523553;73.9;-83.5;10.278;9.468;9.395;0.689;      ;;;0;3;0.0582780799
52805;656;421;1;3.523319;14.684514;28.1;-36.8;10.156;9.606;9.557;0.468;      ;;;0;3;0.0974896074
52826;656;1136;1;3.427993;14.449972;-2.2;-18.5;10.326;9.837;9.793;0.416;      ;;;0;3;0.0506460014
52827;656;1146;1;3.408731;14.229254;-9.5;-5;10.562;10.19;10.157;0.316;      ;;;0;3;0.0162997909
52828;656;1165;1;3.451243;14.407546;15.4;-4.1;10.93;10.327;10.273;0.513;      ;;;0;3;0.0419059982
52830;656;1188;1;3.485134;14.366173;14.9;1.7;10.116;9.589;9.542;0.448;      ;;;0;3;0.0413431347
52832;656;1270;1;3.44114;14.309672;-4.1;-2.2;9.011;8.888;8.877;0.105;21281;;;0;3;0.0287545834
52833;656;1276;1;3.472066;14.724985;36.5;-15.1;11.867;10.878;10.789;0.841;      ;;;0;3;0.0615548876
53234;663;65;1;3.712242;14.876303;11.2;-4.4;11.028;10.306;10.241;0.614;      ;;;0;3;0.1404767259
53235;663;69;1;3.607952;14.456737;4.4;3.5;9.84;9.52;9.491;0.272;      ;;;0;3;0.0647709051
53236;663;93;1;3.693587;14.837186;-1.8;-27.7;11.859;11.237;11.181;0.529;      ;;;0;3;0.1379732605
53237;663;143;1;3.704314;14.521606;2.6;2.2;10.606;10.167;10.127;0.373;      ;;;0;3;0.0868242408
53239;663;221;1;3.690763;14.630195;12.2;11.2;11.065;10.485;10.433;0.493;      ;;;0;3;0.1045639236
53254;663;631;1;3.724722;14.758612;7.8;-7.1;11.741;10.717;10.625;0.87;      ;;;0;3;0.0826131856
53257;663;637;1;3.722019;14.889028;-3;-4.9;11.092;10.538;10.488;0.471;      ;;;0;3;0.1493379502
53260;663;701;1;3.708845;14.839551;79.6;-106.3;11.289;10.503;10.432;0.668;      ;;;0;3;0.1281189004
53265;663;745;1;3.708573;14.299076;7.4;-11.8;12.03;11.145;11.065;0.752;      ;;;0;3;0.029235708
53266;663;753;1;3.589195;14.837957;6.5;-78.2;12.035;11.117;11.034;0.78;      ;;;0;3;0.0989761023
53271;663;923;1;3.702639;14.627075;27.9;-25.9;11.441;10.67;10.601;0.655;      ;;;0;3;0.0942808088
53277;663;993;1;3.712012;14.283236;14.6;-10.5;12.111;11.336;11.266;0.659;      ;;;0;3;0.0350896232
53278;663;995;1;3.680488;14.345053;-38.2;-30;11.005;10.123;10.044;0.75;      ;;;0;3;0.0343415175
53280;663;1100;1;3.670824;14.186673;15.1;-11.7;9.948;9.575;9.541;0.317;      ;;;0;3;0.0307865499
53291;664;62;1;3.802809;14.195384;55.6;-22.5;11.748;10.985;10.916;0.649;      ;;;0;3;0.0293898796
53292;664;120;1;3.857184;14.285124;21;-27.5;11.334;10.521;10.448;0.691;      ;;;0;3;0.0474071017
