recno;TYCID1;TYCID2;TYCID3;RA_J2000_24;DE_J2000;pmRA;pmDE;BT;VT;V;B-V;HD;HIP;Plx;is_hyades;cluster;silhouette
52333;647;1;1;3.021473;14.982241;38.4;-52.1;8.548;7.852;7.789;0.592;18752;14069;4.22;0;0;0.1662610908
52335;647;35;1;2.980936;14.12878;0.1;-28.4;11.225;10.389;10.314;0.711;      ;;;0;0;0.0277718168
52336;647;88;1;2.957821;14.22401;9.7;-5.4;11.904;10.942;10.855;0.818;      ;;;0;0;0.0082671048
52340;647;129;1;2.920523;14.412694;4.5;-13.4;11.402;10.779;10.723;0.53;      ;;;0;0;0.1033180513
52344;647;151;1;3.046567;14.082919;28.9;-29.4;11.258;10.658;10.604;0.51;      ;;;0;0;0.0797958377
52352;647;208;1;2.927852;14.706752;-10.3;-18.8;8.061;7.85;7.831;0.179;18192;13643;6.2;0;0;0.1622036343
52359;647;277;1;2.959697;14.333248;13.3;-4.2;11.273;10.214;10.119;0.9;18382;;;0;0;-0.0012321622
52374;647;544;1;2.997309;14.313472;-7.5;-1.3;11.239;11.104;11.092;0.115;      ;;;0;0;0.1345753303
52375;647;548;1;2.912043;13.638731;-1.7;-10;9.815;9.604;9.585;0.179;18092;;;0;0;0.067498899
52378;647;570;1;3.06356;14.269323;13.8;-40.4;11.397;10.834;10.783;0.479;      ;;;0;0;0.1117236623
52384;647;672;1;2.963258;14.070044;-17;5;9.682;9.315;9.282;0.312;18406;13810;8.05;0;0;0.1022267354
52388;647;694;1;2.908798;14.048636;52.3;-15.1;10.514;9.833;9.772;0.579;      ;;;0;0;0.0483897863
52394;647;774;1;2.920879;14.383178;4.3;0.6;11.618;11.128;11.084;0.417;      ;;;0;0;0.1196117608
52398;647;817;1;2.956108;14.697028;56.3;-2.5;9.817;9.386;9.347;0.366;18343;;;0;0;0.1621481822
52401;647;876;1;3.040012;14.939738;22.8;5.9;10.936;10.31;10.254;0.532;      ;;;0;0;0.1780540112
52403;647;904;1;3.011389;14.637222;-17.5;0.1;11.031;10.725;10.697;0.26;      ;;;0;0;0.1668212653
52673;654;57;1;3.090367;14.276049;13.4;8.3;9.678;9.008;8.948;0.57;19167;;;0;0;0.0943611248
52676;654;119;1;3.072858;14.858336;53.9;-74.7;10.493;9.798;9.735;0.591;      ;;;0;0;0.1593260459
52677;654;135;1;3.08915;14.07722;13.7;-7.7;11.189;10.635;10.585;0.471;      ;;;0;0;0.0912223231
52680;654;156;1;3.098299;14.003964;3.3;13;11.788;11.069;11.004;0.611;      ;;;0;0;0.0470713017
52683;654;173;1;3.129212;14.63463;69.5;-0.5;9.765;9.185;9.133;0.493;19410;;;0;0;0.1619899797
52688;654;198;1;3.149809;14.61327;7.4;2.7;11.567;11.077;11.033;0.417;      ;;;0;0;0.1733398982
52691;654;228;1;3.091354;13.425319;18.5;-15.4;11.475;11.365;11.355;0.093;      ;;;0;0;0.0638763079
52692;654;231;1;3.096589;14.267617;-0.5;-31;9.568;9.014;8.964;0.471;19208;14404;3.64;0;0;0.1164734862
52695;654;271;1;3.110854;14.775969;18;34.4;9.331;8.773;8.723;0.474;19291;;;0;0;0.1798458903
52696;654;286;1;3.119974;14.015407;2.2;-3.8;11.181;10.707;10.664;0.403;      ;;;0;0;0.0983004679
52702;654;393;1;3.086046;13.36515;13.7;-5;11.546;11.452;11.444;0.08;      ;;;0;0;0.0591558052
52705;654;411;1;3.14633;14.684643;46.1;-24.7;11.014;10.728;10.702;0.243;      ;;;0;0;0.1864286798
52707;654;447;1;3.113162;14.614119;42;-7.1;11.876;11.002;10.923;0.743;      ;;;0;0;0.0871705639
52716;654;882;1;3.201778;14.579792;-15.1;-7.7;11.109;10.605;10.56;0.428;      ;;;0;0;0.1742948487
52718;654;932;1;3.190144;14.578529;-4.3;-13.5;11.213;10.399;10.326;0.692;      ;;;0;0;0.1068351443
52724;654;1054;1;3.167981;14.839252;66.5;29.8;11.296;10.332;10.245;0.819;      ;;;0;0;0.0919393457
52726;654;1218;1;3.227874;14.822943;-29.2;-11.3;10.586;9.967;9.911;0.526;      ;;;0;0;0.1911976497
52727;654;1274;1;3.17015;14.600805;-5.4;-24.5;11.394;10.428;10.341;0.821;      ;;;0;0;0.063252611
52730;654;1558;1;3.194724;14.525981;-3.5;-0.1;11.008;10.408;10.354;0.51;      ;;;0;0;0.1526769097
52733;654;1618;1;3.151982;14.173093;23.4;1;9.712;9.364;9.333;0.296;19550;;;0;0;0.1320597256
52734;654;1623;1;3.185616;14.712283;3.2;3.3;10.402;9.795;9.74;0.516;19753;;;0;0;0.1741398676
52736;654;1678;1;3.186076;14.403926;7.1;0.9;11.86;11.109;11.041;0.638;      ;;;0;0;0.1008501425
52738;654;1721;1;3.16409;13.767767;13.4;-8.9;8.55;8.382;8.367;0.143;19610;14694;4.69;0;0;0.0972971806
52739;654;1743;1;3.223286;14.353052;-1.7;-26.4;9.701;9.074;9.018;0.533;20018;;;0;0;0.1272396071
52746;655;81;1;3.234958;13.894054;-15.4;-41.1;9.302;8.709;8.656;0.504;20087;;;0;0;0.0699741039
52749;655;159;1;3.335632;14.83427;-18.8;-23.1;10.4;9.726;9.665;0.573;      ;15536;6.95;0;0;0.1937343379
52754;655;352;1;3.2552;14.303088;9.2;-27.2;8.714;8.051;7.991;0.564;20212;15153;9.77;0;0;0.1151545326
52755;655;396;1;3.340546;14.174649;13.3;-19.1;9.734;9.168;9.117;0.481;      ;15558;3.42;0;0;0.1249574058
52759;655;595;1;3.346158;14.594003;64;-34.4;11.353;10.314;10.22;0.883;      ;;;0;0;0.0510636084
52760;655;672;1;3.314513;14.319081;10.6;-28.2;10.786;9.887;9.806;0.764;      ;;;0;0;0.0561568858
52761;655;686;1;3.342987;14.659652;-4.6;-11.8;10.968;10.502;10.46;0.396;      ;;;0;0;0.2033806226
52764;655;766;1;3.279536;14.539749;32;-151.1;10.906;9.992;9.91;0.777;      ;;;0;0;0.0788707327
52772;655;1005;1;3.252264;14.896594;0.3;-7.5;10.93;10.883;10.879;0.04;      ;15137;6.13;0;0;0.1957095101
52774;655;1023;1;3.297894;13.847234;-3.1;-0.8;7.671;7.555;7.545;0.099;20458;15345;4.21;0;0;0.1135829249
52775;655;1081;1;3.288559;13.872684;13;-61.2;11.081;10.323;10.255;0.644;      ;;;0;0;0.0292313626
52783;655;1306;1;3.348101;14.202153;49.4;-20.7;10.844;10.242;10.188;0.512;      ;;;0;0;0.1224429856
52790;655;1563;1;3.370559;14.588985;-8.3;-30.6;11.593;10.757;10.682;0.711;      ;;;0;0;0.1171728441
52797;656;123;1;3.557262;14.523553;73.9;-83.5;10.278;9.468;9.395;0.689;      ;;;0;0;0.1301341797
52800;656;259;1;3.512621;14.296163;35;28.4;9.423;8.734;8.672;0.586;      ;16359;11.14;0;0;0.1288358099
52805;656;421;1;3.523319;14.684514;28.1;-36.8;10.156;9.606;9.557;0.468;      ;;;0;0;0.2151999751
52809;656;561;1;3.412399;14.973833;-1.2;-6.1;8.466;8.195;8.171;0.23;21100;15894;7.25;0;0;0.2410303136
52812;656;735;1;3.414286;14.014893;48;3.8;10.179;9.689;9.645;0.417;      ;15906;3.47;0;0;0.1198625211
52813;656;758;1;3.476153;14.115619;7.6;6.6;9.91;9.458;9.417;0.384;      ;;;0;0;0.1435368771
