,Unnamed: 0,Unnamed: 0.1,recno,TYCID1,TYCID2,TYCID3,RA_J2000_24,DE_J2000,pmRA,pmDE,BT,VT,V,B-V,HD,HIP,Plx,is_hyades,keep,cluster,silhouette
3441,3443,3443,52333,647,1,1,3.021473,14.982241,38.4,-52.1,8.548,7.852,7.789,0.5920000000000001,18752,14069.0,4.22,0,1,0,0.16626109075793144
3443,3445,3445,52335,647,35,1,2.9809360000000003,14.128779999999999,0.1,-28.4,11.225,10.389000000000001,10.314,0.711,      ,,,0,1,0,0.027771816773899352
3444,3446,3446,52336,647,88,1,2.957821,14.22401,9.7,-5.4,11.904000000000002,10.942,10.855,0.818,      ,,,0,1,0,0.008267104811095603
3448,3450,3450,52340,647,129,1,2.9205229999999998,14.412694,4.5,-13.4,11.402000000000001,10.779000000000002,10.722999999999999,0.53,      ,,,0,1,0,0.10331805128207952
3452,3454,3454,52344,647,151,1,3.046567,14.082919,28.9,-29.4,11.258,10.658,10.604000000000001,0.51,      ,,,0,1,0,0.07979583765325486
3459,3461,3461,52352,647,208,1,2.927852,14.706752,-10.3,-18.8,8.061,7.85,7.831,0.179,18192,13643.0,6.2,0,1,0,0.16220363428581344
3465,3467,3467,52359,647,277,1,2.9596970000000002,14.333248000000001,13.3,-4.2,11.273,10.214,10.119,0.9,18382,,,0,1,0,-0.0012321622490015591
3477,3479,3479,52374,647,544,1,2.997309,14.313472,-7.5,-1.3,11.239,11.104000000000001,11.092,0.115,      ,,,0,1,0,0.13457533030138843
3478,3480,3480,52375,647,548,1,2.912043,13.638731,-1.7,-10.0,9.815,9.604,9.585,0.179,18092,,,0,1,0,0.06749889899275215
3481,3483,3483,52378,647,570,1,3.06356,14.269323000000002,13.8,-40.4,11.397,10.834000000000001,10.783,0.479,      ,,,0,1,0,0.11172366230048757
3487,3489,3489,52384,647,672,1,2.963258,14.070044000000001,-17.0,5.0,9.682,9.315,9.282,0.312,18406,13810.0,8.05,0,1,0,0.10222673539900069
3491,3493,3493,52388,647,694,1,2.908798,14.048635999999998,52.3,-15.1,10.514000000000001,9.833,9.772,0.579,      ,,,0,1,0,0.048389786254678054
3497,3499,3499,52394,647,774,1,2.9208790000000002,14.383178,4.3,0.6,11.618,11.128,11.084000000000001,0.41700000000000004,      ,,,0,1,0,0.11961176084320835
3501,3503,3503,52398,647,817,1,2.956108,14.697028,56.3,-2.5,9.817,9.386000000000001,9.347000000000001,0.366,18343,,,0,1,0,0.16214818221910776
3503,3505,3505,52401,647,876,1,3.040012,14.939738,22.8,5.9,10.936,10.31,10.254000000000001,0.532,      ,,,0,1,0,0.17805401118157818
3505,3507,3507,52403,647,904,1,3.011389,14.637222,-17.5,0.1,11.030999999999999,10.725,10.697000000000001,0.26,      ,,,0,1,0,0.1668212652546503
3775,3777,3777,52673,654,57,1,3.0903669999999996,14.276048999999999,13.4,8.3,9.677999999999999,9.008,8.948,0.57,19167,,,0,1,0,0.09436112481037881
3778,3780,3780,52676,654,119,1,3.072858,14.858335999999998,53.9,-74.7,10.493,9.798,9.735,0.591,      ,,,0,1,0,0.15932604585567445
3779,3781,3781,52677,654,135,1,3.08915,14.07722,13.7,-7.7,11.189,10.635,10.585,0.47100000000000003,      ,,,0,1,0,0.09122232312701416
