,recno,TYCID1,TYCID2,TYCID3,RA_J2000_24,DE_J2000,pmRA,pmDE,BT,VT,V,B-V,HD,HIP,Plx,is_hyades
0,3569,51,213,1,2.9693560000000003,4.919439,3.0,-5.9,11.922,10.722000000000001,10.614,1.02,      ,,,0
1,3570,51,271,1,2.948315,4.897292,12.0,-0.6,11.715,10.863,10.786,0.7240000000000001,      ,,,0
2,3571,51,284,1,2.939781,3.548525,-16.4,-21.7,11.415,10.450999999999999,10.364,0.8190000000000001,      ,,,0
3,3572,51,306,1,2.985645,4.003941,120.2,-110.2,11.28,10.277999999999999,10.187999999999999,0.852,      ,,,0
4,3573,51,310,1,2.942774,3.799315,-49.0,-31.9,11.02,10.424000000000001,10.37,0.507,      ,,,0
5,3576,51,365,1,2.9948509999999997,4.100448,40.2,0.8,11.472000000000001,10.699000000000002,10.629000000000001,0.657,      ,,,0
6,3577,51,376,1,2.918936,3.4868690000000004,31.7,-12.8,7.274,6.9270000000000005,6.896,0.295,18162,13593.0,11.65,0
7,3579,51,383,1,2.913019,3.5694169999999996,52.5,-25.5,9.652000000000001,8.895,8.827,0.643,18115,,,0
8,3581,51,425,1,2.910711,4.826931,14.6,-8.1,11.069,9.684,9.559,1.177,      ,,,0
9,3583,51,467,1,2.964252,4.039838,-3.7,-4.1,11.554,9.701,9.533999999999999,1.575,      ,,,0
10,3584,51,521,1,2.937564,3.4860800000000003,-31.8,-45.7,10.561,10.075,10.031,0.413,      ,,,0
11,3586,51,557,1,2.937237,4.048437,3.9,-6.6,7.752000000000001,7.711,7.707000000000001,0.035,18271,13682.0,7.98,0
12,3587,51,639,1,2.988516,4.0898010000000005,4.8,-6.7,12.192,10.501,10.349,1.4369999999999998,      ,,,0
13,3588,51,650,1,2.9701779999999998,4.358696,20.3,-9.0,11.532,11.002,10.954,0.451,      ,,,0
14,3590,51,666,1,2.929205,4.664426000000001,-30.9,-29.0,10.737,10.047,9.985,0.5870000000000001,      ,,,0
15,3592,51,704,1,2.9512709999999998,4.501024,20.8,22.3,8.292,6.377999999999999,6.206,1.6269999999999998,18345,13756.0,5.86,0
16,3595,51,761,1,2.9021779999999997,3.9362,24.2,-18.4,10.445,8.964,8.831,1.2590000000000001,18053,,,0
17,3596,51,790,1,2.970201,3.828064,21.2,-64.7,10.082,9.321,9.253,0.647,18451,,,0
18,3598,51,832,1,2.992648,3.5175620000000003,2.0,-9.2,9.094,8.8,8.774,0.25,18597,13937.0,4.72,0
19,3601,51,883,1,2.940169,4.451787,2.5,-23.4,11.07,9.712,9.59,1.1540000000000001,      ,,,0
20,3603,51,923,1,2.9328380000000003,4.106841999999999,5.4,-4.5,11.327,10.072000000000001,9.959,1.067,      ,,,0
21,3604,51,927,1,2.9526630000000003,3.678704,20.0,-18.1,8.071,7.617999999999999,7.577000000000001,0.385,18359,13762.0,5.57,0
22,3606,51,951,1,2.994057,4.31076,16.9,-13.4,11.402000000000001,11.015,10.98,0.32899999999999996,      ,,,0
23,3608,51,955,1,2.9374919999999998,3.579791,-2.1,-16.3,10.895,10.755,10.742,0.11900000000000001,      ,,,0
24,3769,54,8,1,2.920834,6.235964,3.0,-4.3,11.262,9.378,9.208,1.601,      ,,,0
25,3771,54,27,1,2.929219,7.281067,7.7,6.6,9.607999999999999,9.158,9.118,0.38299999999999995,18214,13650.0,2.51,0
26,3777,54,136,1,2.925596,6.307005,-9.6,-15.0,9.684,9.198,9.154,0.413,18203,13632.0,4.79,0
27,3778,54,146,1,2.950282,5.530285,58.8,-62.9,10.622,9.859,9.79,0.649,      ,,,0
28,3779,54,163,1,2.917412,7.090367,-1.2,-12.3,11.700999999999999,9.775,9.602,1.6369999999999998,      ,,,0
29,3781,54,174,1,2.9895709999999998,6.652133999999999,28.3,-43.2,7.9910000000000005,7.587999999999999,7.5520000000000005,0.34299999999999997,18570,13923.0,8.65,0
30,3782,54,211,1,2.965169,7.435182000000001,57.2,0.1,10.709000000000001,9.904,9.832,0.684,      ,,,0
31,3784,54,266,1,2.945891,6.337034,71.4,12.1,10.905,10.101,10.029,0.6829999999999999,      ,,,0
32,3785,54,277,1,2.9265790000000003,7.174954,-3.7,-20.7,11.599,10.748,10.671,0.723,      ,,,0
33,3787,54,288,1,2.996443,5.885882,-6.5,-19.5,11.299000000000001,10.075,9.965,1.04,      ,,,0
34,3788,54,306,1,2.925166,5.933608,75.6,-43.2,11.664000000000001,11.009,10.95,0.557,      ,,,0
35,3789,54,311,1,2.963479,7.019385000000001,-52.1,-35.4,9.82,9.158,9.097999999999999,0.563,18419,13813.0,10.87,0
36,3792,54,347,1,2.983561,7.315075,19.3,-15.5,11.02,10.288,10.222000000000001,0.622,      ,,,0
37,3793,54,356,1,2.91214,6.115709,9.9,-24.2,11.747,10.965,10.895,0.665,      ,,,0
38,3796,54,373,1,2.96084,7.1787589999999994,1.2,-10.7,11.049000000000001,10.409,10.350999999999999,0.544,      ,,,0
39,3797,54,379,1,2.997732,7.099587,0.8,-1.2,12.372,10.636,10.48,1.476,      ,,,0
40,3798,54,400,1,2.9379779999999998,5.9371279999999995,-17.8,-27.0,11.475,10.87,10.815999999999999,0.514,      ,,,0
41,3799,54,401,1,2.907152,7.195733000000001,15.1,4.7,11.453,11.279000000000002,11.263,0.14800000000000002,      ,,,0
42,3800,54,409,1,2.924504,6.962013000000001,11.7,-82.0,10.09,9.587,9.542,0.428,18181,,,0
43,3803,54,455,1,2.962532,6.913142999999999,36.4,-5.3,10.57,10.115,10.074,0.387,      ,,,0
44,3804,54,460,1,2.9409240000000003,5.27646,7.0,10.8,11.502,10.422,10.325,0.9179999999999999,      ,,,0
45,3805,54,470,1,2.922198,5.63922,23.1,-15.6,11.828,11.215,11.16,0.521,      ,,,0
46,3807,54,483,1,2.9310080000000003,5.497876,1.9,-12.3,11.655,11.41,11.388,0.20800000000000002,      ,,,0
47,3808,54,498,1,2.900887,5.143237,-0.5,-1.1,12.202,11.005,10.897,1.0170000000000001,      ,,,0
48,3810,54,581,1,2.902446,5.633576000000001,-41.9,-65.7,11.059000000000001,10.207,10.13,0.7240000000000001,      ,,,0
49,3811,54,630,1,2.981204,5.757235,-0.6,-5.3,10.856,10.421,10.382,0.37,      ,,,0
50,3813,54,639,1,2.980204,5.739522,-3.2,-10.2,10.052,9.789,9.765,0.22399999999999998,18529,,,0
51,3815,54,651,1,2.939302,6.566319999999999,-0.1,24.8,9.926,9.457,9.415,0.39899999999999997,18285,,,0
52,3816,54,676,1,2.9787790000000003,5.351239,6.0,-7.0,12.005999999999998,11.069,10.985,0.7959999999999999,      ,,,0
53,3817,54,682,1,2.923877,6.339112,17.5,-13.3,11.404000000000002,10.344000000000001,10.249,0.9009999999999999,      ,,,0
54,3818,54,734,1,2.985161,5.88125,3.0,-3.3,11.436,9.89,9.751,1.314,      ,,,0
