"","n","identifier","prob_member","Otype","RA","RA_J2000","DE","DE_J2000","Sp_type","idHip","rac","dec","dist","cercanaHip","idcruzHip"
"1",1,"[BKM2008] HB9Ic06-530l",25,"* ","04 22 59.0000",4.38306,"+14 19.8 ",14.33,"~ ",FALSE,23,26,0.078032486183641,20197,NA
"2",2,"HD 27534",100,"*iC ","04 21 32.2681",4.35896,"+18 25 03.2915 ",18.4176,"F5V ",TRUE,23,35,1.84390889154291e-05,20350,20350
"3",3,"Cl* Melotte 25 CFHT 15",75,"LM? ","04 27 06.4000",4.45178,"+16 25 48 ",16.43,"~ ",FALSE,24,31,0.0737522916796487,20877,NA
"4",4,"[BKM2008] HB1Ic08-1689l",25,"* ","04 25 37.7000",4.42714,"+17 20 13 ",17.3369,"~ ",FALSE,24,33,0.0738140735903389,20899,NA
"5",5,"2MASS J04291927+1317214",25,"* ","04 29 19.2800",4.48869,"+13 17 21.5 ",13.2893,"~ ",FALSE,25,23,0.0831593088294994,21267,NA
"6",6,"[BKM2008] HA2Ic03-781s",75,"LM? ","04 27 06.6000",4.45183,"+16 25 46 ",16.4294,"~ ",FALSE,24,31,0.0731652118701243,20877,NA
"7",7,"HD 30869",100,"* ","04 51 49.9877",4.86389,"+13 39 18.5484 ",13.6552,"F5 ",TRUE,31,24,4.51774279923494e-05,22607,22607
"8",8,"[BKM2008] HA6Ic02-1202l",25,"* ","04 29 56.0000",4.49889,"+16 31.5 ",16.525,"~ ",FALSE,25,31,0.147840775975374,20978,NA
"9",9,"[BKM2008] HB12c11-86l",25,"* ","04 31 06.1000",4.51836,"+14 20 46 ",14.3461,"~ ",FALSE,25,26,0.0905033830306909,20827,NA
"10",10,"Cl* Melotte 25 LH 117",25,"*iC ","04 26 47.9200",4.44664,"+14 11 59.7 ",14.1999,"~ ",FALSE,24,26,0.0208566886154067,20740,NA
"11",11,"[BKM2008] HC06c01-591l",25,"* ","04 18 47.0000",4.31306,"+18 31.3 ",18.5217,"~ ",FALSE,22,36,0.11378811510874,20350,NA
